COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
Afghanistan,"34 31 N, 69 11 E","33 00 N, 65 00 E","34.516666666666666, 69.18333333333334","33.0, 65.0",421.9891167,262.2119727,4.18333,1.51667,Asia,Kabul
Azerbaijan,"40 23 N, 49 52 E","40 30 N, 47 30 E","40.38333333333333, 49.86666666666667","40.5, 47.5",200.7599527,124.746495,2.36667,-0.11667,Asia,Baku
Bahrain,"26 14 N, 50 34 E","26 00 N, 50 33 E","26.233333333333334, 50.56666666666667","26.0, 50.55",26.00695149,16.15997613,0.01667,0.23333,Asia,Manama
Bangladesh,"23 43 N, 90 24 E","24 00 N, 90 00 E","23.716666666666665, 90.4","24.0, 90.0",51.46721609,31.98025666,0.4,-0.28333,Asia,Dhaka
Bhutan,"27 28 N, 89 38 E","27 30 N, 90 30 E","27.466666666666665, 89.63333333333334","27.5, 90.5",85.60022733,53.18953401,-0.86667,-0.03333,Asia,Thimphu
Brunei,"4 53 N, 114 56 E","4 30 N, 114 40 E","4.883333333333333, 114.93333333333334","4.5, 114.66666666666667",51.8836251,32.23900132,0.26667,0.38333,Asia,Bandar Seri Begawan
Burma,"16 48 N, 96 09 E","22 00 N, 98 00 E","16.8, 96.15","22.0, 98.0",610.062878,379.0756311,-1.85,-5.2,Asia,Naypyidaw
Cambodia,"11 33 N, 104 55 E","13 00 N, 105 00 E","11.55, 104.91666666666667","13.0, 105.0",161.5373581,100.3746961,-0.08333,-1.45,Asia,Phnom Penh
China,"39 55 N, 116 23 E","35 00 N, 105 00 E","39.916666666666664, 116.38333333333334","35.0, 105.0",1142.941063,710.1909007,11.38333,4.91667,Asia,Beijing
Christmas Island,"10 25 S, 105 43 E","10 30 S, 105 40 E","-10.416666666666666, 105.71666666666667","-10.5, 105.66666666666667",10.76235277,6.687418324,0.05,0.08333,Asia,Flying Fish Cove
Cocos Keeling Islands,"12 10 S, 96 50 E","12 30 S, 96 50 E","-12.166666666666666, 96.83333333333333","-12.5, 96.83333333333333",37.07661108,23.03834613,0,0.33333,Asia,West Island
East Timor,"8 35 S, 125 36 E","8 50 S, 125 55 E","-8.583333333333334, 125.6","-8.833333333333334, 125.91666666666667",44.55846893,27.6873587,-0.31667,0.25,Asia,Dili
India,"28 36 N, 77 12 E","20 00 N, 77 00 E","28.6, 77.2","20.0, 77.0",956.7907601,594.5224243,0.2,8.6,Asia,New Delhi
Indonesia,"6 10 S, 106 49 E","5 00 S, 120 00 E","-6.166666666666667, 106.81666666666666","-5.0, 120.0",1465.124678,910.3865876,-13.18333,-1.16667,Asia,Jakarta
Iran,"35 42 N, 51 25 E","32 00 N, 53 00 E","35.7, 51.416666666666664","32.0, 53.0",436.7476429,271.382499,-1.58333,3.7,Asia,Tehran
Iraq,"33 20 N, 44 24 E","33 00 N, 44 00 E","33.333333333333336, 44.4","33.0, 44.0",52.55223576,32.65445687,0.4,0.33333,Asia,Baghdad
Israel,"31 46 N, 35 14 E","31 30 N, 34 45 E","31.766666666666666, 35.233333333333334","31.5, 34.75",54.54339395,33.89170564,0.48333,0.26667,Asia,Jerusalem
Japan,"35 41 N, 139 45 E","36 00 N, 138 00 E","35.68333333333333, 139.75","36.0, 138.0",161.673426,100.4592448,1.75,-0.31667,Asia,Tokyo
Jordan,"31 57 N, 35 56 E","31 00 N, 36 00 E","31.95, 35.93333333333333","31.0, 36.0",105.8574188,65.77677368,-0.06667,0.95,Asia,Amman
Kazakhstan,"51 10 N, 71 25 E","48 00 N, 68 00 E","51.166666666666664, 71.41666666666667","48.0, 68.0",429.7486601,267.0335311,3.41667,3.16667,Asia,Astana
Kuwait,"29 22 N, 47 58 E","29 30 N, 45 45 E","29.366666666666667, 47.96666666666667","29.5, 45.75",215.2437637,133.7463211,2.21667,-0.13333,Asia,Kuwait City
Kyrgyzstan,"42 52 N, 74 36 E","41 00 N, 75 00 E","42.86666666666667, 74.6","41.0, 75.0",210.2498335,130.6432356,-0.4,1.86667,Asia,Bishkek
Laos,"17 58 N, 102 36 E","18 00 N, 105 00 E","17.966666666666665, 102.6","18.0, 105.0",253.9353383,157.7881594,-2.4,-0.03333,Asia,Vientiane
Lebanon,"33 52 N, 35 30 E","33 50 N, 35 50 E","33.86666666666667, 35.5","33.833333333333336, 35.833333333333336",31.01447836,19.27151017,-0.33333,0.03333,Asia,Beirut
Malaysia,"3 10 N, 101 42 E","2 30 N, 112 30 E","3.1666666666666665, 101.7","2.5, 112.5",1202.09183,746.9454963,-10.8,0.66667,Asia,Kuala Lumpur
Maldives,"4 10 N, 73 30 E","3 15 N, 73 00 E","4.166666666666667, 73.5","3.25, 73.0",116.0861493,72.13261437,0.5,0.91667,Asia,Male
Mongolia,"47 55 N, 106 55 E","46 00 N, 105 00 E","47.916666666666664, 106.91666666666667","46.0, 105.0",258.0953737,160.3730864,1.91667,1.91667,Asia,Ulaanbaatar
Nepal,"27 43 N, 85 19 E","28 00 N, 84 00 E","27.716666666666665, 85.31666666666666","28.0, 84.0",133.2589308,82.80328983,1.31667,-0.28333,Asia,Kathmandu
North Korea,"39 01 N, 125 45 E","40 00 N, 127 00 E","39.016666666666666, 125.75","40.0, 127.0",153.1969003,95.19217406,-1.25,-0.98333,Asia,Pyongyang
Oman,"23 37 N, 58 35 E","21 00 N, 57 00 E","23.616666666666667, 58.583333333333336","21.0, 57.0",333.5427266,207.2539145,1.58333,2.61667,Asia,Muscat
Pakistan,"33 41 N, 73 03 E","30 00 N, 70 00 E","33.68333333333333, 73.05","30.0, 70.0",500.8408093,311.2081602,3.05,3.68333,Asia,Islamabad
Philippines,"14 36 N, 120 58 E","13 00 N, 122 00 E","14.6, 120.96666666666667","13.0, 122.0",210.0726188,130.5331195,-1.03333,1.6,Asia,Manila
Qatar,"25 17 N, 51 32 E","25 30 N, 51 15 E","25.283333333333335, 51.53333333333333","25.5, 51.25",37.30118271,23.17788852,0.28333,-0.21667,Asia,Doha
Saudi Arabia,"24 39 N, 46 42 E","25 00 N, 45 00 E","24.65, 46.7","25.0, 45.0",175.9763412,109.3466674,1.7,-0.35,Asia,Riyadh
Singapore,"1 17 N, 103 51 E","1 22 N, 103 48 E","1.2833333333333332, 103.85","1.3666666666666667, 103.8",10.80883152,6.716298887,0.05,-0.08333,Asia,Singapore
South Korea,"37 33 N, 126 59 E","37 00 N, 127 30 E","37.55, 126.98333333333333","37.0, 127.5",76.37893516,47.45968669,-0.51667,0.55,Asia,Seoul
Sri Lanka,"6 55 N, 79 50 E","7 00 N, 81 00 E","6.916666666666667, 79.83333333333333","7.0, 81.0",129.145356,80.24723205,-1.16667,-0.08333,Asia,Sri Jayawardenapura Kotte
Syria,"33 30 N, 36 18 E","35 00 N, 38 00 E","33.5, 36.3","35.0, 38.0",228.611235,142.0524856,-1.7,-1.5,Asia,Damascus
Taiwan,"25 02 N, 121 31 E","23 30 N, 121 00 E","25.033333333333335, 121.51666666666667","23.5, 121.0",178.4171239,110.8633,0.51667,1.53333,Asia,Taipei
Tajikistan,"38 33 N, 68 46 E","39 00 N, 71 00 E","38.55, 68.76666666666667","39.0, 71.0",200.0234059,124.2888259,-2.23333,-0.45,Asia,Dushanbe
Thailand,"13 45 N, 100 31 E","15 00 N, 100 00 E","13.75, 100.51666666666667","15.0, 100.0",149.7675275,93.06125981,0.51667,-1.25,Asia,Bangkok
Turkmenistan,"37 57 N, 58 23 E","40 00 N, 60 00 E","37.95, 58.38333333333333","40.0, 60.0",267.4512066,166.1865335,-1.61667,-2.05,Asia,Ashgabat
United Arab Emirates,"24 28 N, 54 22 E","24 00 N, 54 00 E","24.466666666666665, 54.36666666666667","24.0, 54.0",63.85512982,39.67775209,0.36667,0.46667,Asia,Abu Dhabi
Uzbekistan,"41 19 N, 69 15 E","41 00 N, 64 00 E","41.31666666666667, 69.25","41.0, 64.0",440.9976678,274.0233429,5.25,0.31667,Asia,Tashkent
Vietnam,"21 02 N, 105 51 E","16 10 N, 107 50 E","21.033333333333335, 105.85","16.166666666666668, 107.83333333333333",580.2636275,360.5592287,-1.98333,4.86667,Asia,Hanoi
Yemen,"15 21 N, 44 12 E","15 00 N, 48 00 E","15.35, 44.2","15.0, 48.0",409.7826258,254.6272082,-3.8,0.35,Asia,Sanaa
