COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
Akrotiri,"34 40 N, 32 51 E","34 37 N, 32 58 E","34.666666666666664, 32.85","34.61666666666667, 32.96666666666667",12.03802698,7.480085804,-0.11667,0.05,Europe,Episkopi Cantonment
Albania,"41 19 N, 19 49 E","41 00 N, 20 00 E","41.31666666666667, 19.816666666666666","41.0, 20.0",38.42343335,23.87522298,-0.18333,0.31667,Europe,Tirana
Andorra,"42 30 N, 1 31 E","42 30 N, 1 30 E","42.5, 1.5166666666666666","42.5, 1.5",1.366787256,0.849282526,0.01667,0,Europe,Andorra la Vella
Armenia,"40 10 N, 44 30 E","40 00 N, 45 00 E","40.166666666666664, 44.5","40.0, 45.0",46.41429355,28.84051506,-0.5,0.16667,Europe,Yerevan
Austria,"48 12 N, 16 22 E","47 20 N, 13 20 E","48.2, 16.366666666666667","47.333333333333336, 13.333333333333334",246.3975247,153.1043775,3.03333,0.86667,Europe,Vienna
Belarus,"53 54 N, 27 34 E","53 00 N, 28 00 E","53.9, 27.566666666666666","53.0, 28.0",104.1402424,64.70976933,-0.43333,0.9,Europe,Minsk
Belgium,"50 50 N, 4 20 E","50 50 N, 4 00 E","50.833333333333336, 4.333333333333333","50.833333333333336, 4.0",23.41676504,14.55050833,0.33333,0,Europe,Brussels
Bosnia and Herzegovina,"43 52 N, 18 25 E","44 00 N, 18 00 E","43.86666666666667, 18.416666666666668","44.0, 18.0",36.52241914,22.6939871,0.41667,-0.13333,Europe,Sarajevo
Bulgaria,"42 41 N, 23 19 E","43 00 N, 25 00 E","42.68333333333333, 23.316666666666666","43.0, 25.0",141.7323002,88.06839929,-1.68333,-0.31667,Europe,Sofia
Croatia,"45 48 N, 16 00 E","45 10 N, 15 30 E","45.8, 16.0","45.166666666666664, 15.5",80.51662809,50.03073078,0.5,0.63333,Europe,Zagreb
