COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
American Samoa,"14 16 S, 170 42 W","14 20 S, 170 00 W","-14.266666666666667, -170.7","-14.333333333333334, -170.0",75.81191271,47.10735514,-0.7,0.06667,Oceania,Pago Pago
Australia,"35 16 S, 149 08 E","27 00 S, 133 00 E","-35.266666666666666, 149.13333333333333","-27.0, 133.0",1786.648646,1110.172389,16.13333,-8.26667,Oceania,Canberra
Cook Islands,"21 12 S, 159 46 W","21 14 S, 159 46 W","-21.2, -159.76666666666668","-21.233333333333334, -159.76666666666668",3.707661108,2.303834613,0,0.03333,Oceania,Avarua
Federated States of Micronesia,"6 55 N, 158 09 E","6 55 N, 158 15 E","6.916666666666667, 158.15","6.916666666666667, 158.25",11.04203416,6.861204344,-0.1,0,Oceania,Palikir
Fiji,"18 08 S, 178 25 E","18 00 S, 175 00 E","-18.133333333333333, 178.41666666666666","-18.0, 175.0",361.597129,224.6861181,3.41667,-0.13333,Oceania,Suva
French Polynesia,"17 32 S, 149 34 W","15 00 S, 140 00 W","-17.533333333333335, -149.56666666666666","-15.0, -140.0",1059.462908,658.3199618,-9.56667,-2.53333,Oceania,Papeete
Guam,"13 28 N, 144 44 E","13 28 N, 144 47 E","13.466666666666667, 144.73333333333332","13.466666666666667, 144.78333333333333",5.408581603,3.36073798,-0.05,0,Oceania,HagŒt–a
Kiribati,"1 21 N, 173 02 E","1 25 N, 173 00 E","1.35, 173.03333333333333","1.4166666666666667, 173.0",8.290098986,5.151230501,0.03333,-0.06667,Oceania,Tarawa
Marshall Islands,"7 06 N, 171 23 E","9 00 N, 168 00 E","7.1, 171.38333333333333","9.0, 168.0",428.3621152,266.1719718,3.38333,-1.9,Oceania,Majuro
New Caledonia,"22 16 S, 166 27 E","21 30 S, 165 30 E","-22.266666666666666, 166.45","-21.5, 165.5",129.9478701,80.74589134,0.95,-0.76667,Oceania,Noumea
New Zealand,"41 18 S, 174 47 E","41 00 S, 174 00 E","-41.3, 174.78333333333333","-41.0, 174.0",73.60594181,45.7366279,0.78333,-0.3,Oceania,Wellington
Niue,"19 01 S, 169 55 W","19 02 S, 169 52 W","-19.016666666666666, -169.91666666666666","-19.033333333333335, -169.86666666666667",5.574955559,3.464118,-0.05,0.01667,Oceania,Alofi
Norfolk Island,"29 03 S, 167 58 E","29 02 S, 167 57 E","-29.05, 167.96666666666667","-29.033333333333335, 167.95",2.462416419,1.530075164,0.01667,-0.01667,Oceania,Kingston
Northern Mariana Islands,"15 12 N, 145 45 E","15 12 N, 145 45 E","15.2, 145.75","15.2, 145.75",9.50E-05,5.90E-05,0,0,Oceania,Saipan
Palau,"7 29 N, 134 38 E","7 30 N, 134 30 E","7.483333333333333, 134.63333333333333","7.5, 134.5",14.82044873,9.209003131,0.13333,-0.01667,Oceania,Ngerulmud
Papua New Guinea,"9 27 S, 147 11 E","6 00 S, 147 00 E","-9.45, 147.18333333333334","-6.0, 147.0",384.2744172,238.7771367,0.18333,-3.45,Oceania,Port Moresby
Pitcairn Islands,"25 04 S, 130 05 W","25 04 S, 130 06 W","-25.066666666666666, -130.08333333333334","-25.066666666666666, -130.1",1.679228328,1.043424475,0.01667,0,Oceania,Adamstown
Samoa,"13 49 S, 171 46 W","13 35 S, 172 20 W","-13.816666666666666, -171.76666666666668","-13.583333333333334, -172.33333333333334",66.50977254,41.32727118,0.56667,-0.23333,Oceania,Apia
Solomon Islands,"9 26 S, 159 57 E","8 00 S, 159 00 E","-9.433333333333334, 159.95","-8.0, 159.0",190.5950738,118.4303299,0.95,-1.43333,Oceania,Honiara
Tonga,"21 08 S, 175 12 W","20 00 S, 175 00 W","-21.133333333333333, -175.2","-20.0, -175.0",127.7694548,79.39228635,-0.2,-1.13333,Oceania,Nuku_alofa
Tuvalu,"8 31 S, 179 13 E","8 00 S, 178 00 E","-8.516666666666667, 179.21666666666667","-8.0, 178.0",145.7352937,90.555745,1.21667,-0.51667,Oceania,Funafuti
Vanuatu,"17 44 S, 168 19 E","16 00 S, 167 00 E","-17.733333333333334, 168.31666666666666","-16.0, 167.0",238.3526384,148.1055152,1.31667,-1.73333,Oceania,Port Vila
Wallis and Futuna,"13 57 S, 171 56 W","13 18 S, 176 12 W","-13.95, -171.93333333333334","-13.3, -176.2",466.8486602,290.0864105,4.26667,-0.65,Oceania,Mata-Utu
