COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
Algeria,"36 45 N, 3 03 E","28 00 N, 3 00 E","36.75, 3.05","28.0, 3.0",973.2723261,604.7635982,0.05,8.75,Africa,Algiers
Angola,"8 50 S, 13 13 E","12 30 S, 18 30 E","-8.833333333333334, 13.216666666666667","-12.5, 18.5",706.908206,439.2525491,-5.28333,3.66667,Africa,Luanda
Benin,"6 29 N, 2 37 E","9 30 N, 2 15 E","6.483333333333333, 2.6166666666666667","9.5, 2.25",337.9646918,210.0015973,0.36667,-3.01667,Africa,Porto-Novo
Botswana,"24 38 S, 25 54 E","22 00 S, 24 00 E","-24.633333333333333, 25.9","-22.0, 24.0",351.3524167,218.3203468,1.9,-2.63333,Africa,Gaborone
Burkina Faso,"12 22 N, 1 31 W","13 00 N, 2 00 W","12.366666666666667, -1.5166666666666666","13.0, -2.0",87.82634,54.57277678,0.48333,-0.63333,Africa,Ouagadougou
Burundi,"3 22 S, 29 21 E","3 30 S, 30 00 E","-3.3666666666666667, 29.35","-3.5, 30.0",73.67767829,45.78120289,-0.65,0.13333,Africa,Bujumbura
Cameroon,"3 52 N, 11 31 E","6 00 N, 12 00 E","3.8666666666666667, 11.516666666666667","6.0, 12.0",243.2595988,151.1545601,-0.48333,-2.13333,Africa,Yaounde
Cape Verde,"14 55 N, 23 31 W","16 00 N, 24 00 W","14.916666666666666, -23.516666666666666","16.0, -24.0",131.1671847,81.50353857,0.48333,-1.08333,Africa,Praia
Central African Republic,"4 22 N, 18 35 E","7 00 N, 21 00 E","4.366666666666666, 18.583333333333332","7.0, 21.0",396.6461142,246.4645555,-2.41667,-2.63333,Africa,Bangui
Chad,"12 06 N, 15 02 E","15 00 N, 19 00 E","12.1, 15.033333333333333","15.0, 19.0",536.6383507,333.451729,-3.96667,-2.9,Africa,N'Djamena
Comoros,"11 42 S, 43 14 E","12 10 S, 44 15 E","-11.7, 43.233333333333334","-12.166666666666666, 44.25",122.2106265,75.93818938,-1.01667,0.46667,Africa,Moroni
"Congo, Republic of the","4 15 S, 15 17 E","1 00 S, 15 00 E","-4.25, 15.283333333333333","-1.0, 15.0",362.8648546,225.4738465,0.28333,-3.25,Africa,Kinshasa
Cote d'Ivoire,"6 49 N, 5 16 W","8 00 N, 5 00 W","6.816666666666666, -5.266666666666667","8.0, -5.0",134.8683638,83.80334548,-0.26667,-1.18333,Africa,Yamoussoukro
Democratic Republic of the Congo,"4 19 S, 15 18 E","0 00 N, 25 00 E","-4.316666666666666, 15.3","0.0, 25.0",1180.007419,733.2228744,-9.7,-4.31667,Africa,Kinshasa
Djibouti,"11 35 N, 43 09 E","11 30 N, 43 00 E","11.583333333333334, 43.15","11.5, 43.0",18.79215276,11.67690647,0.15,0.08333,Africa,Djibouti
Egypt,"30 03 N, 31 15 E","27 00 N, 30 00 E","30.05, 31.25","27.0, 30.0",360.5653467,224.0449981,1.25,3.05,Africa,Cairo
Equatorial Guinea,"3 45 N, 8 47 E","2 00 N, 10 00 E","3.75, 8.783333333333333","2.0, 10.0",236.9727511,147.2480927,-1.21667,1.75,Africa,Malabo
Eritrea,"15 20 N, 38 56 E","15 00 N, 39 00 E","15.333333333333334, 38.93333333333333","15.0, 39.0",37.76106602,23.46364686,-0.06667,0.33333,Africa,Asmara
Ethiopia,"9 02 N, 38 42 E","8 00 N, 38 00 E","9.033333333333333, 38.7","8.0, 38.0",138.3466961,85.96468169,0.7,1.03333,Africa,Addis Ababa
Gabon,"0 23 N, 9 27 E","1 00 S, 11 45 E","0.38333333333333336, 9.45","-1.0, 11.75",298.5272978,185.4963282,-2.3,1.38333,Africa,Libreville
Ghana,"5 33 N, 0 13 W","8 00 N, 2 00 W","5.55, -0.21666666666666667","8.0, -2.0",336.2383472,208.9288961,1.78333,-2.45,Africa,Accra
Guinea-Bissau,"11 51 N, 15 35 W","11 00 N, 10 00 W","11.85, -15.583333333333334","11.0, -10.0",616.0102908,382.7711833,-5.58333,0.85,Africa,Bissau
Guinea,"9 30 N, 13 42 W","12 00 N, 15 00 W","9.5, -13.7","12.0, -15.0",312.255121,194.026405,1.3,-2.5,Africa,Conakry
Kenya,"1 17 S, 36 49 E","1 00 N, 38 00 E","-1.2833333333333332, 36.81666666666667","1.0, 38.0",286.0509322,177.7438713,-1.18333,-2.28333,Africa,Nairobi
Lesotho,"29 19 S, 27 29 E","29 30 S, 28 30 E","-29.316666666666666, 27.483333333333334","-29.5, 28.5",100.6000536,62.50999722,-1.01667,0.18333,Africa,Maseru
Liberia,"6 18 N, 10 48 W","6 30 N, 9 30 W","6.3, -10.8","6.5, -9.5",145.4092833,90.3531715,-1.3,-0.2,Africa,Monrovia
Libya,"32 53 N, 13 10 E","25 00 N, 17 00 E","32.88333333333333, 13.166666666666666","25.0, 17.0",952.7224743,591.9945078,-3.83333,7.88333,Africa,Tripoli
Madagascar,"18 55 S, 47 31 E","20 00 S, 47 00 E","-18.916666666666668, 47.516666666666666","-20.0, 47.0",132.1213268,82.0964152,0.51667,1.08333,Africa,Antananarivo
Malawi,"13 58 S, 33 47 E","13 30 S, 34 00 E","-13.966666666666667, 33.78333333333333","-13.5, 34.0",56.94230142,35.38231816,-0.21667,-0.46667,Africa,Lilongwe
Mali,"12 39 N, 8 00 W","17 00 N, 4 00 W","12.65, -8.0","17.0, -4.0",647.2956716,402.2110246,-4,-4.35,Africa,Bamako
Mauritania,"18 04 N, 15 58 W","20 00 N, 12 00 W","18.066666666666666, -15.966666666666667","20.0, -12.0",469.2318219,291.5672391,-3.96667,-1.93333,Africa,Nouakchott
Mauritius,"20 09 S, 57 29 E","20 17 S, 57 33 E","-20.15, 57.483333333333334","-20.283333333333335, 57.55",16.3819556,10.17927886,-0.06667,0.13333,Africa,Port Louis
Mayotte,"12 46 S, 45 13 E","12 50 S, 45 10 E","-12.766666666666667, 45.21666666666667","-12.833333333333334, 45.166666666666664",9.186893918,5.708473233,0.05,0.06667,Africa,Mamoudzou
Morocco,"34 01 N, 6 49 W","32 00 N, 5 00 W","34.016666666666666, -6.816666666666666","32.0, -5.0",281.1105143,174.6740368,-1.81667,2.01667,Africa,Rabat
Mozambique,"25 57 S, 32 35 E","18 15 S, 35 00 E","-25.95, 32.583333333333336","-18.25, 35.0",891.8678645,554.1811931,-2.41667,-7.7,Africa,Maputo
Namibia,"22 34 S, 17 05 E","22 00 S, 17 00 E","-22.566666666666666, 17.083333333333332","-22.0, 17.0",63.61111446,39.52612792,0.08333,-0.56667,Africa,Windhoek
Nigeria,"9 05 N, 7 32 E","16 00 N, 8 00 E","9.083333333333334, 7.533333333333333","16.0, 8.0",771.0040685,479.0798857,-0.46667,-6.91667,Africa,Abuja
Niger,"13 31 N, 2 07 E","10 00 N, 8 00 E","13.516666666666667, 2.1166666666666667","10.0, 8.0",750.5346894,466.3607987,-5.88333,3.51667,Africa,Niamey
Rwanda,"1 57 S, 30 03 E","2 00 S, 30 00 E","-1.95, 30.05","-2.0, 30.0",7.862801051,4.885719781,0.05,0.05,Africa,Kigali
"Saint Helena, Ascension, and Tristan da Cunha","15 56 S, 5 43 W","15 57 S, 5 42 W","-15.933333333333334, -5.716666666666667","-15.95, -5.7",2.571793329,1.598038848,-0.01667,0.01667,Africa,Jamestown
Saint Helena,"15 56 S, 5 44 W","7 57 S, 14 22 W","-15.933333333333334, -5.733333333333333","-7.95, -14.366666666666667",1292.087145,802.8660119,8.63333,-7.98333,Africa,Jamestown
Sao Tome and Principe,"0 20 N, 6 44 E","1 00 N, 7 00 E","0.3333333333333333, 6.733333333333333","1.0, 7.0",79.86465663,49.62561435,-0.26667,-0.66667,Africa,Sao Tome
Senegal,"14 44 N, 17 38 W","14 00 N, 14 00 W","14.733333333333333, -17.633333333333333","14.0, -14.0",399.8968859,248.4844921,-3.63333,0.73333,Africa,Dakar
Seychelles,"4 37 S, 55 27 E","4 35 S, 55 40 E","-4.616666666666667, 55.45","-4.583333333333333, 55.666666666666664",24.30661072,15.10343299,-0.21667,-0.03333,Africa,Victoria
Sierra Leone,"8 29 N, 13 14 W","8 30 N, 11 30 W","8.483333333333333, -13.233333333333333","8.5, -11.5",190.6936486,118.4915814,-1.73333,-0.01667,Africa,Freetown
Somalia,"2 04 N, 45 20 E","10 00 N, 49 00 E","2.066666666666667, 45.333333333333336","10.0, 49.0",971.0286779,603.3694594,-3.66667,-7.93333,Africa,Mogadishu
South Africa,"25 42 S, 28 13 E","29 00 S, 24 00 E","-25.7, 28.216666666666665","-29.0, 24.0",555.1365498,344.945981,4.21667,3.3,Africa,Pretoria
South Sudan,"04 51 N, 31 37 E","8 00 N, 30 00 E","4.85, 31.616666666666667","8.0, 30.0",393.2994107,244.3850097,1.61667,-3.15,Africa,Juba
Sudan,"15 36 N, 32 32 E","15 00 N, 30 00 E","15.6, 32.53333333333333","15.0, 30.0",279.8658397,173.9006316,2.53333,0.6,Africa,Khartoum
Swaziland,"26 19 S, 31 08 E","26 30 S, 31 30 E","-26.316666666666666, 31.133333333333333","-26.5, 31.5",41.83484291,25.99497535,-0.36667,0.18333,Africa,Mbabane
Tanzania,"6 48 S, 39 17 E","6 00 S, 35 00 E","-6.8, 39.28333333333333","-6.0, 35.0",481.7493298,299.3452606,4.28333,-0.8,Africa,Dodoma
The Gambia,"13 27 N, 16 34 W","13 28 N, 16 34 W","13.45, -16.566666666666666","13.466666666666667, -16.566666666666666",1.853830554,1.151917306,0,-0.01667,Africa,Banjul
Togo,"6 07 N, 1 13 E","8 00 N, 1 10 E","6.116666666666666, 1.2166666666666668","8.0, 1.1666666666666667",209.5555435,130.2118237,0.05,-1.88333,Africa,Lom_
Tunisia,"36 48 N, 10 11 E","34 00 N, 9 00 E","36.8, 10.183333333333334","34.0, 9.0",329.3964861,204.6775592,1.18333,2.8,Africa,Tunis
Uganda,"0 19 N, 32 33 E","1 00 N, 32 00 E","0.31666666666666665, 32.55","1.0, 32.0",97.56580618,60.62460262,0.55,-0.68333,Africa,Kampala
Zambia,"15 25 S, 28 17 E","15 00 S, 30 00 E","-15.416666666666666, 28.283333333333335","-15.0, 30.0",189.995644,118.0578613,-1.71667,-0.41667,Africa,Lusaka
Zimbabwe,"17 49 S, 31 02 E","20 00 S, 30 00 E","-17.816666666666666, 31.033333333333335","-20.0, 30.0",266.0796641,165.3342962,1.03333,2.18333,Africa,Harare
