COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName
Anguilla,"18 13 N, 63 03 W","18 15 N, 63 10 W","18.216666666666665, -63.05","18.25, -63.166666666666664",12.8708406,7.997572379,0.11667,-0.03333,North America,The Valley
Antigua and Barbuda,"17 07 N, 61 51 W","17 03 N, 61 48 W","17.116666666666667, -61.85","17.05, -61.8",9.12403576,5.669414971,-0.05,0.06667,North America,St. John's
Argentina,"34 35 S, 58 40 W","34 00 S, 64 00 W","-34.583333333333336, -58.666666666666664","-34.0, -64.0",494.3269083,307.1606083,5.33333,-0.58333,South America,Buenos Aires
Aruba,"12 31 N, 70 02 W","12 30 N, 69 58 W","12.516666666666667, -70.03333333333333","12.5, -69.96666666666667",7.472909915,4.643452575,-0.06667,0.01667,North America,Oranjestad
Barbados,"13 06 N, 59 37 W","13 10 N, 59 32 W","13.1, -59.61666666666667","13.166666666666666, -59.53333333333333",11.68197134,7.25884301,-0.08333,-0.06667,North America,Bridgetown
Belize,"17 15 N, 88 46 W","17 15 N, 88 45 W","17.25, -88.76666666666667","17.25, -88.75",1.770445152,1.100104001,-0.01667,0,North America,Belmopan
Bermuda,"32 17 N, 64 47 W","32 20 N, 64 45 W","32.28333333333333, -64.78333333333333","32.333333333333336, -64.75",6.383571842,3.96656904,-0.03333,-0.05,North America,Hamilton
Bolivia,"16 30 S, 68 09 W","17 00 S, 65 00 W","-16.5, -68.15","-17.0, -65.0",340.0815036,211.3169236,-3.15,0.5,South America,Sucre
Brazil,"15 47 S, 47 55 W","10 00 S, 55 00 W","-15.783333333333333, -47.916666666666664","-10.0, -55.0",1001.52044,622.3161685,7.08333,-5.78333,South America,Brasilia
British Virgin Islands,"18 25 N, 64 37 W","18 30 N, 64 30 W","18.416666666666668, -64.61666666666666","18.5, -64.5",15.40888772,9.574642298,-0.11667,-0.08333,North America,Road Town
Canada,"45 25 N, 75 42 W","60 00 N, 95 00 W","45.416666666666664, -75.7","60.0, -95.0",2063.078731,1281.938142,19.3,-14.58333,North America,Ottawa
Cayman Islands,"19 18 N, 81 23 W","19 30 N, 80 30 W","19.3, -81.38333333333334","19.5, -80.5",95.30692756,59.22100002,-0.88333,-0.2,North America,George Town
Chile,"33 27 S, 70 40 W","30 00 S, 71 00 W","-33.45, -70.66666666666667","-30.0, -71.0",385.0357763,239.2502234,0.33333,-3.45,South America,Santiago
Colombia,"4 36 N, 74 05 W","4 00 N, 72 00 W","4.6, -74.08333333333333","4.0, -72.0",240.5198169,149.4521379,-2.08333,0.6,South America,Bogota
Costa Rica,"9 56 N, 84 05 W","10 00 N, 84 00 W","9.933333333333334, -84.08333333333333","10.0, -84.0",11.76140017,7.308197814,-0.08333,-0.06667,North America,San Jose
Cuba,"23 07 N, 82 21 W","21 30 N, 80 00 W","23.116666666666667, -82.35","21.5, -80.0",301.3448254,187.2470592,-2.35,1.61667,North America,Havana
Dominica,"15 18 N, 61 24 W","15 25 N, 61 20 W","15.3, -61.4","15.416666666666666, -61.333333333333336",14.81645855,9.20652375,-0.06667,-0.11667,North America,Roseau
Dominican Republic,"18 28 N, 69 54 W","19 00 N, 70 40 W","18.466666666666665, -69.9","19.0, -70.66666666666667",100.2050041,62.26452474,0.76667,-0.53333,North America,Santo Domingo
Ecuador,"0 13 S, 78 30 W","2 00 S, 77 30 W","-0.21666666666666667, -78.5","-2.0, -77.5",227.4051118,141.3030351,-1,1.78333,South America,Quito
El Salvador,"13 42 N, 89 12 W","13 50 N, 88 55 W","13.7, -89.2","13.833333333333334, -88.91666666666667",34.01332245,21.13490615,-0.28333,-0.13333,North America,San Salvador
Falkland Islands Islas Malvinas,"51 42 S, 57 51 W","51 45 S, 59 00 W","-51.7, -57.85","-51.75, -59.0",79.42890623,49.35485151,1.15,0.05,South America,Stanley
Greenland,"64 11 N, 51 45 W","72 00 N, 40 00 W","64.18333333333334, -51.75","72.0, -40.0",992.8862896,616.9511544,-11.75,-7.81667,North America,Nuuk
Grenada,"12 03 N, 61 45 W","12 07 N, 61 40 W","12.05, -61.75","12.116666666666667, -61.666666666666664",11.71064589,7.276660559,-0.08333,-0.06667,North America,St. George's
Guatemala,"14 37 N, 90 31 W","15 30 N, 90 15 W","14.616666666666667, -90.51666666666667","15.5, -90.25",102.3427792,63.59287705,-0.26667,-0.88333,North America,Guatemala City
Guyana,"6 48 N, 58 09 W","5 00 N, 59 00 W","6.8, -58.15","5.0, -59.0",221.1993389,137.4469453,0.85,1.8,South America,Georgetown
Haiti,"18 32 N, 72 20 W","19 00 N, 72 25 W","18.533333333333335, -72.33333333333333","19.0, -72.41666666666667",52.64396758,32.71145639,0.08333,-0.46667,North America,Port-au-Prince
Honduras,"14 06 N, 87 13 W","15 00 N, 86 30 W","14.1, -87.21666666666667","15.0, -86.5",126.3907109,78.53557433,-0.71667,-0.9,North America,Tegucigalpa
Jamaica,"18 00 N, 76 48 W","18 15 N, 77 30 W","18.0, -76.8","18.25, -77.5",79.04971038,49.11923005,0.7,-0.25,North America,Kingston
Mexico,"19 26 N, 99 08 W","23 00 N, 102 00 W","19.433333333333334, -99.13333333333334","23.0, -102.0",495.6792993,308.0009454,2.86667,-3.56667,North America,Mexico City
Montserrat,"16 42 N, 62 13 W","16 45 N, 62 12 W","16.7, -62.21666666666667","16.75, -62.2",5.838001609,3.627567295,-0.01667,-0.05,North America,Plymouth
Nicaragua,"12 08 N, 86 15 W","13 00 N, 85 00 W","12.133333333333333, -86.25","13.0, -85.0",166.4590188,103.4328753,-1.25,-0.86667,North America,Managua
Panama,"8 58 N, 79 32 W","9 00 N, 80 00 W","8.966666666666667, -79.53333333333333","9.0, -80.0",51.40443278,31.94124491,0.46667,-0.03333,North America,Panama City
Paraguay,"25 16 S, 57 40 W","23 00 S, 58 00 W","-25.266666666666666, -57.666666666666664","-23.0, -58.0",254.3808368,158.0649794,0.33333,-2.26667,South America,Asunci—n
Peru,"12 03 S, 77 03 W","10 00 S, 76 00 W","-12.05, -77.05","-10.0, -76.0",255.2125413,158.5817768,-1.05,-2.05,South America,Lima
Puerto Rico,"18 28 N, 66 07 W","18 15 N, 66 30 W","18.466666666666665, -66.11666666666666","18.25, -66.5",47.10053143,29.26692366,0.38333,0.21667,North America,San Juan
