COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName,
Afghanistan,"34 31 N, 69 11 E","33 00 N, 65 00 E","34.516666666666666, 69.18333333333334","33.0, 65.0",421.9891167,262.2119727,4.18333,1.51667,Asia,Kabul,
Akrotiri,"34 40 N, 32 51 E","34 37 N, 32 58 E","34.666666666666664, 32.85","34.61666666666667, 32.96666666666667",12.03802698,7.480085804,-0.11667,0.05,Europe,Episkopi Cantonment,
Albania,"41 19 N, 19 49 E","41 00 N, 20 00 E","41.31666666666667, 19.816666666666666","41.0, 20.0",38.42343335,23.87522298,-0.18333,0.31667,Europe,Tirana,
Algeria,"36 45 N, 3 03 E","28 00 N, 3 00 E","36.75, 3.05","28.0, 3.0",973.2723261,604.7635982,0.05,8.75,Africa,Algiers,
American Samoa,"14 16 S, 170 42 W","14 20 S, 170 00 W","-14.266666666666667, -170.7","-14.333333333333334, -170.0",75.81191271,47.10735514,-0.7,0.06667,Oceania,Pago Pago,
Andorra,"42 30 N, 1 31 E","42 30 N, 1 30 E","42.5, 1.5166666666666666","42.5, 1.5",1.366787256,0.849282526,0.01667,0,Europe,Andorra la Vella,
Angola,"8 50 S, 13 13 E","12 30 S, 18 30 E","-8.833333333333334, 13.216666666666667","-12.5, 18.5",706.908206,439.2525491,-5.28333,3.66667,Africa,Luanda,
Anguilla,"18 13 N, 63 03 W","18 15 N, 63 10 W","18.216666666666665, -63.05","18.25, -63.166666666666664",12.8708406,7.997572379,0.11667,-0.03333,North America,The Valley,
Antigua and Barbuda,"17 07 N, 61 51 W","17 03 N, 61 48 W","17.116666666666667, -61.85","17.05, -61.8",9.12403576,5.669414971,-0.05,0.06667,North America,St. John's,
Argentina,"34 35 S, 58 40 W","34 00 S, 64 00 W","-34.583333333333336, -58.666666666666664","-34.0, -64.0",494.3269083,307.1606083,5.33333,-0.58333,South America,Buenos Aires,
Armenia,"40 10 N, 44 30 E","40 00 N, 45 00 E","40.166666666666664, 44.5","40.0, 45.0",46.41429355,28.84051506,-0.5,0.16667,Europe,Yerevan,
